Portfolio A,10/1/2011,10/31/2011,11/30/2011,12/30/2011,1/29/2012,2/28/2012,3/29/2012,4/28/2012,5/23/2012,6/22/2012,7/22/2012,8/21/2012,9/20/2012,10/20/2012,11/19/2012,12/19/2012,1/18/2013,2/15/2013,3/17/2013,4/16/2013,5/16/2013,6/15/2013,7/15/2013,8/14/2013,9/13/2013,10/13/2013,11/12/2013,12/12/2013,1/11/2014,2/10/2014,3/12/2014,4/11/2014,5/11/2014,6/10/2014,7/10/2014,8/9/2014,9/8/2014,10/8/2014,11/7/2014,12/7/2014,1/6/2015,2/5/2015,3/7/2015,4/6/2015,5/6/2015,6/5/2015,7/5/2015,8/4/2015,9/3/2015,10/3/2015,11/2/2015,12/2/2015,12/30/2015,1/29/2016,2/28/2016,3/29/2016,4/28/2016,5/25/2016,6/24/2016,7/24/2016,8/23/2016,9/22/2016,10/22/2016,11/21/2016,12/21/2016,1/20/2017,2/17/2017,3/19/2017,4/18/2017,5/18/2017,6/17/2017,7/17/2017,8/16/2017,9/15/2017,10/15/2017,11/14/2017,12/14/2017,1/13/2018,2/12/2018,3/14/2018,4/13/2018,5/13/2018,6/12/2018,7/12/2018,8/11/2018,9/10/2018,10/10/2018,11/9/2018,12/9/2018,1/8/2019,2/7/2019,3/9/2019,4/8/2019,5/8/2019,6/7/2019,7/7/2019,8/6/2019,9/5/2019,10/5/2019,11/4/2019,12/4/2019,1/3/2020,2/2/2020,3/3/2020,4/2/2020,5/2/2020,6/1/2020,7/1/2020,7/31/2020,8/30/2020,9/29/2020,10/29/2020,11/28/2020,12/28/2020,1/27/2021,2/26/2021,3/28/2021,4/27/2021,5/27/2021,6/26/2021,7/26/2021,8/25/2021,9/24/2021
ALGN,-0.2435013,0.6150070,0.0638298,-0.0314286,0.0695322,0.0535855,0.0190726,0.1636697,0.1381195,0.0502722,0.0259146,0.0124814,0.0719108,-0.2445235,-0.0318956,0.0344440,-0.0358306,0.2588462,-0.0109991,-0.0176089,0.1588050,-0.0265943,0.0788960,0.1467700,0.0547544,-0.0715659,0.3460653,-0.0748718,0.0844420,-0.0630431,-0.0121840,-0.0907585,0.0386718,0.0228070,0.0379264,-0.0034888,0.0241386,-0.1401583,0.0962544,0.0849399,0.0107319,-0.0426458,0.0270909,-0.0605417,0.1100433,0.0679002,-0.0065172,-0.0169600,-0.1027018,0.0605841,0.1351120,0.0235046,-0.0095895,0.0006051,-0.0016631,0.0975314,0.0169725,0.0635433,0.0000000,0.0654430,0.1121540,0.0220062,-0.0670011,0.0775263,0.0263048,-0.0710161,0.0778437,0.1126069,0.0272896,0.1837173,0.0872249,0.0434870,0.1424365,0.0338451,0.0480759,0.3136474,-0.0796000,0.1286570,-0.1165302,0.1687899,-0.0394891,0.0943757,0.2368201,0.0241920,-0.0014883,0.0345037,-0.1567586,-0.2533620,-0.0817935,-0.1094341,0.2409951,0.0163291,0.2027860,0.1030371,-0.0471087,-0.1151271,-0.3078166,-0.0601252,0.0417819,0.4024714,0.0731924,0.0098304,-0.0977749,-0.1124812,-0.3228090,0.3818636,0.1923004,0.0929555,0.0729623,0.0107549,0.0780861,0.3635569,0.1024349,0.0822165,-0.0215413,0.1127659,-0.0901236,0.2049612,-0.0353673,0.0362639,0.0226220,0.1279461,0.0116334
CRL,-0.1511205,0.1516233,-0.1217472,-0.0359788,0.2235638,0.0696770,0.0022365,-0.0089261,-0.0692090,-0.0012140,0.0179277,0.0970149,0.0424490,0.0234926,0.0181076,-0.0631263,0.1334225,-0.0236486,0.0919427,-0.0375736,0.0613829,-0.0425438,0.0270771,0.0745831,-0.0090166,-0.0205248,0.1013178,0.0270694,0.1075248,0.0086222,0.0314584,-0.0658047,-0.0431157,0.0144632,-0.0217511,0.0603513,0.0644934,-0.0137394,0.0634441,0.0071023,0.0131641,0.0875483,0.1115062,0.0066539,-0.1065209,0.0413999,-0.0419399,0.0879795,-0.1141547,-0.0544459,0.0779221,0.1097402,0.0518480,-0.0783462,-0.0107773,0.0366335,0.0513663,0.0453043,-0.0588029,0.0746733,-0.0324262,-0.0070616,-0.0016876,-0.1253320,0.0298178,0.0705094,0.1059735,0.0077966,-0.0168180,0.0195005,0.0934004,0.0301790,-0.0131082,0.0668142,0.0759291,-0.1152801,0.0392390,0.0083905,-0.0356467,0.1051083,-0.0590897,0.0118812,0.0806076,0.0086237,0.0253933,0.0564496,-0.0287293,0.1088087,-0.0640528,-0.0793203,0.0663378,0.1193970,0.0317777,-0.0589048,-0.0587027,0.0939351,-0.0610703,0.0130540,-0.0119868,-0.0001517,0.1026088,0.0502786,0.0170269,0.0399871,-0.2472293,0.1379339,0.2997470,-0.0236904,0.1334586,0.1003065,0.0181777,0.0269591,0.0243732,0.0539400,0.0230611,0.1315696,-0.0111484,0.1817282,-0.0064898,0.1019266,0.0743321,0.1007450,0.0586985
INTU,-0.0564018,0.1708115,-0.0080119,-0.0122089,0.0754896,0.0215700,0.0354794,-0.0310881,-0.0049339,0.0210731,-0.0098855,0.0325801,-0.0022053,0.0190411,-0.0165165,0.0539440,0.0249477,-0.0139793,0.0538102,-0.0181929,-0.0680473,-0.0304094,0.1171808,-0.0009255,0.0182183,0.0224412,0.0738544,0.0251346,0.0105079,-0.0474603,0.1326802,-0.1039170,0.0495036,0.0400736,0.0159171,0.0171599,0.0288509,-0.0042776,0.0597852,0.0512330,-0.0567695,0.0414490,0.0647694,0.0020481,0.0172713,0.0608800,-0.0348485,0.0360086,-0.1851501,0.0612506,0.0679006,0.0204082,-0.0191617,-0.0281848,0.0118312,0.0613618,-0.0116993,0.0259867,0.0029518,0.0818380,-0.0009653,-0.0270555,-0.0102022,0.0550944,0.0174635,-0.0050132,0.0351498,0.0295345,-0.0328201,0.0485966,0.1246504,-0.0545648,0.0364470,0.0305249,0.0183635,0.0723366,0.0063140,0.0390550,-0.0179309,0.1123729,-0.0298945,0.1197744,0.0773664,0.0300255,-0.0194179,0.0722909,-0.0902456,0.0867247,-0.0692263,-0.0146525,0.0844621,0.1338191,0.0407919,-0.0638135,0.0546862,0.0530547,-0.0038358,0.0822689,-0.0874072,-0.0476083,0.0007479,0.0398427,0.0696724,-0.0514851,-0.1603788,0.1889708,0.0827918,0.0435592,0.0125256,0.1273623,-0.0629723,0.0060870,0.0811093,0.0826658,-0.0472555,0.0744403,-0.0397806,0.1107789,0.0384264,0.1270047,0.0869012,0.0496873,0.0401541
ABBV,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0896350,0.0574001,0.0154337,0.1124214,0.0885748,-0.0692491,0.0374332,-0.0008965,0.0069538,0.0320784,0.0248219,0.1034120,-0.0488643,-0.0056191,0.0421796,-0.1003098,0.1272062,0.0305518,0.0337224,-0.0444524,0.0423935,0.0498470,0.0541652,0.1287805,-0.0733218,-0.0985543,-0.0422487,0.0372704,0.1098768,0.0541132,0.0121662,0.0253591,-0.1196569,-0.0795713,0.1182075,-0.0893026,0.0283749,-0.0819398,-0.0052823,0.0446805,0.0727432,0.0041004,-0.0222150,0.0745072,0.0287624,-0.0164727,-0.0608482,-0.0114529,0.0170473,-0.0048820,0.0017840,0.0652420,-0.0326748,0.0311076,0.0870029,0.0190636,-0.0313618,0.2406987,0.0420053,0.0407513,0.0163588,0.0642783,0.0921065,0.0626284,-0.2279300,0.1531090,-0.0659175,-0.0333637,0.0122372,-0.0305848,-0.0078874,-0.0460894,-0.0132898,0.0362972,-0.1279877,-0.0137678,0.0755635,-0.0713265,-0.0071804,-0.0802015,-0.0905644,0.0348927,0.1089065,0.1165075,0.0507290,0.0172018,-0.0721533,0.0640340,-0.1420578,0.0895781,0.1079892,0.0930540,-0.0426669,0.0090612,-0.0927221,-0.0715848,0.2963927,-0.0108051,-0.0063799,0.0481564,-0.0093744,0.0441300,0.0078966,0.0060541,0.0423894,0.0221581,-0.1107143
TDY,-0.1393091,0.1818182,0.0405728,-0.0322865,0.0107566,0.0891053,0.0412388,0.0278352,-0.0261746,0.0181970,0.0165601,0.0440323,-0.0037077,-0.0162816,-0.0186003,0.0444908,0.0456712,0.0445135,0.0942942,0.0001294,-0.0064683,-0.0096354,0.0564028,0.0099564,0.0198398,0.0587240,0.0058206,0.0095314,0.0341688,-0.0160852,0.0969844,-0.0691773,0.0602553,0.0232629,-0.0563366,-0.0135249,0.0599829,-0.0475950,0.1119363,0.0059160,-0.0701954,0.0040808,0.0278399,0.0674180,-0.0563067,0.0110893,0.0457148,-0.0449230,-0.0689018,-0.0622065,-0.0006678,0.0296247,-0.0354556,-0.0894318,0.0483692,0.0395633,0.0639187,0.0514192,-0.0109023,0.0972076,0.0309032,0.0260789,-0.0377171,0.1439985,0.0152822,-0.0041272,0.0909535,-0.0313480,-0.0378333,0.0094498,0.0520428,0.0231506,0.0855690,0.0535678,0.0436268,0.1049089,0.0111210,0.0671530,-0.0667599,0.0521117,0.0204663,0.0168510,0.0619154,-0.0188128,0.1270430,0.0512099,-0.0718992,0.0023960,-0.0977337,0.0402276,0.0711187,0.0006164,0.0894570,0.0092088,0.0067635,0.0910717,0.0530113,0.0932807,0.0043041,0.0593055,0.0220728,0.0479364,0.0258020,-0.0430768,-0.1724811,0.0871200,0.1484196,-0.1669223,0.0082514,0.0225302,-0.0053251,-0.0082708,0.2216835,0.0234429,0.0021200,-0.0428770,0.0946631,0.0905890,-0.0577318,0.0099200,0.0557796,0.0293040,-0.0535773
WRB,-0.0605017,0.2151832,-0.0202499,0.0083553,0.0043611,0.0382110,0.0129653,0.0367465,0.0235529,-0.0331513,0.0153288,-0.0055622,0.0007990,0.0331337,0.0096600,-0.0034443,0.0284178,0.0492238,0.0328401,0.0478686,-0.0583528,-0.0173513,0.0590991,-0.0415107,-0.0170394,0.0548935,-0.0089011,-0.0227979,-0.0219159,-0.0498735,0.0330924,-0.0033137,0.0993720,0.0134409,0.0205570,-0.0116959,0.0581854,0.0093197,0.0535549,0.0508326,-0.0720044,-0.0173757,0.0204268,0.0080669,-0.0257854,0.0039550,0.1136364,0.0185034,-0.0403420,0.0064031,0.0307054,0.0131508,0.0026947,-0.1015856,0.0269219,0.0707836,0.0155060,0.0118184,-0.0111495,0.0464430,-0.0038481,0.0054082,-0.0440574,0.0852090,0.0982716,0.0013489,0.0504690,0.0227466,-0.0473914,-0.0270565,0.0448531,-0.0085855,-0.0153713,-0.0397977,0.0412182,-0.0061579,0.0362912,-0.0117446,-0.0200951,0.0485116,0.0243954,0.0416752,0.0116279,-0.0467563,0.0351523,0.0300099,-0.0153345,0.0175200,-0.0407500,-0.0426805,0.1227083,0.0270922,0.0308943,0.0625657,0.0606960,0.0469600,0.0347542,0.0324386,0.0031976,-0.0582040,0.0039729,0.0120182,0.0773353,-0.0864363,-0.2542672,0.0138122,0.1280654,-0.0160455,0.0827635,0.0048583,-0.0174053,0.0011481,0.0670052,0.0147398,-0.0673324,0.1247567,0.0946199,0.0616682,-0.0393447,-0.0417313,0.0051234,0.0219987,-0.0378002
PEG,-0.0349254,0.0423755,-0.0225519,0.0021251,-0.0848228,0.0145647,-0.0130506,0.0297521,0.0191104,0.0232784,0.0312796,-0.0064338,-0.0212766,0.0217391,-0.0817145,0.0322364,-0.0296031,0.0439893,0.0652943,0.0579710,-0.0111301,-0.0481962,0.0281989,-0.0188735,-0.0282537,0.0436127,-0.0163011,-0.0322386,-0.0171233,0.0741210,0.0554409,0.0843811,-0.0193249,0.0005255,0.0236345,-0.0885069,0.0427807,0.0345479,0.0722672,0.0019465,-0.0060709,0.0471537,-0.0709286,0.0647916,-0.0155660,-0.0318639,-0.0019797,0.0076866,-0.0314961,0.0856199,-0.0493798,-0.0531758,-0.0028133,0.0592460,0.0329298,0.0918894,-0.0064405,-0.0320513,0.0068509,0.0519392,-0.0554118,-0.0031956,-0.0643462,0.0034263,0.0631707,0.0034412,-0.0156179,0.0147160,0.0274190,-0.0341861,0.0107330,-0.0232716,0.0788804,-0.0175815,0.0606722,0.0641975,0.0042537,-0.0460146,-0.0389506,0.0174297,0.0295150,0.0202486,0.0204362,0.0077027,-0.0116568,0.0160480,0.0376784,-0.0135705,0.0297453,-0.0669796,0.0775929,0.0535105,0.0098858,-0.0249789,0.0387745,-0.0053324,-0.0489194,0.0722212,0.0211927,0.0048263,-0.0565162,-0.0039029,0.0107325,-0.1058486,-0.1464656,0.0852473,0.0626781,-0.0472999,0.1244221,-0.0661423,0.0490046,0.0897810,-0.0241125,-0.0164722,-0.0167481,-0.0448900,0.1185213,0.0313901,-0.0011272,-0.0288570,0.0217463,0.0415922,-0.0531898
CMA,-0.0928046,0.1514196,-0.0129159,0.0229976,0.0786822,0.0582106,0.0977929,-0.0095886,-0.0557147,0.0209036,-0.0056143,0.0288941,0.0225952,-0.0666035,-0.0307744,0.0523378,0.1160477,0.0538578,0.0384726,-0.0384296,0.1357102,-0.0483544,0.1056132,0.0153994,-0.0400474,0.0069119,0.0943859,0.0194892,0.0375742,-0.0283778,0.0736704,-0.0205035,0.0018653,0.0450972,-0.0063341,-0.0332669,0.0333814,-0.0167498,-0.0184547,-0.0231405,-0.0841794,0.0330254,0.0503018,-0.0304385,0.0555434,0.0590682,0.0023566,-0.0719044,-0.0964746,-0.0105140,0.0595041,0.0218409,-0.0942826,-0.1829443,-0.0151603,0.1252220,0.1820574,0.0714286,-0.1448718,0.1311844,0.0128120,0.0194111,0.1063329,0.1783021,0.1349089,-0.0316703,0.0791828,-0.0237668,-0.0416136,-0.0011815,0.1033565,-0.0013401,-0.0383790,-0.0358638,0.0904617,0.0447306,0.0640325,0.1198806,-0.0052244,0.0473741,-0.0168850,0.0202977,-0.0229545,-0.0551321,0.0637640,0.0090380,-0.0819520,-0.0502411,-0.1477152,0.0019396,0.1538993,-0.0115039,-0.0516426,-0.0301675,-0.0755239,0.0248075,-0.0939065,-0.0422232,0.0264508,0.0946431,0.0004280,0.0077011,-0.1225587,-0.1774194,-0.4550980,0.1568910,0.1688958,-0.0436402,0.0717863,0.0262201,-0.0455350,0.1648556,0.1194539,0.1422764,0.0106762,0.1989437,0.0076358,0.0454678,0.0971564,-0.0885529,-0.0556175,0.1102583,0.0428078
AAL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.1257367,0.2418848,0.0556492,-0.1033014,0.1695368,0.1084031,-0.0192396,-0.1132648,0.0068475,-0.1368036,0.3090909,0.1763889,0.0436836,-0.0797511,-0.0182340,0.0033389,-0.0214226,-0.1132837,-0.0476989,0.0757614,-0.0432850,-0.0171191,0.1562578,-0.0570260,0.0373243,-0.0890187,0.0515517,0.0085366,-0.1301088,-0.1305405,-0.1591545,0.3234750,0.0167598,-0.0315934,0.1299291,0.1569169,0.0735677,-0.0297150,-0.0153233,-0.1110637,0.0505995,0.0191737,0.1122060,0.0847765,-0.1013551,-0.0497831,0.1363043,-0.1235891,0.0960489,0.1547500,-0.1360814,0.1036135,-0.1702243,-0.0743405,0.0223740,-0.1630961,0.0126617,0.0717586,-0.1983261,0.1458399,-0.0657096,-0.0419622,0.1156693,-0.1139066,0.0570983,-0.0038371,-0.0838519,0.0604787,-0.1351022,-0.0236248,-0.0671723,0.1982191,-0.1153473,0.0098612,-0.0177215,-0.3427835,-0.4364146,-0.0238569,0.1313646,0.1530153,-0.1319282,0.1735612,-0.0613027,-0.0889796,0.2661290,0.1365888,0.0311333,0.2644928,0.0940783,-0.0501964,0.1227022,-0.1244372,0.0322581,-0.0874094,0.0615385
POOL,-0.0227273,0.1716119,0.0438056,-0.0131148,0.1265781,0.0949572,0.0166981,-0.0222517,-0.0021900,0.0603567,-0.0476067,0.0328715,0.0804840,0.0265336,-0.0396016,0.0170370,0.0883710,0.0488189,-0.0034320,0.0133448,0.1155480,0.0158035,0.0221181,-0.0099028,0.0218559,-0.0019938,-0.0156193,0.0315498,-0.0019674,-0.0284946,0.0950009,-0.0407682,0.0474183,-0.0134138,-0.0440177,0.0001778,-0.0179524,-0.0027149,0.0862069,0.0193818,0.0227832,0.0403846,0.0489834,-0.0042584,-0.0389323,0.0500230,0.0241122,0.0098459,-0.0163911,0.0716851,0.0974531,0.0083059,-0.0042662,0.0343983,-0.0500592,0.0958017,0.0077308,0.0152108,-0.0161948,0.1309071,0.0041588,-0.0638004,-0.0088477,0.0719447,0.0461981,-0.0056856,0.1081441,0.0340451,-0.0218942,0.0000000,0.0440054,-0.0409323,-0.0814633,-0.0320826,0.0756263,0.0572036,0.0697713,0.0080645,0.0086990,0.1101101,0.0090865,0.0239896,0.0088608,0.0395236,0.0200986,0.0718454,-0.1295516,-0.0049768,0.0181142,-0.0053110,0.0445839,0.0131621,0.0715772,0.0773305,0.0350705,0.0120329,-0.0016688,0.0599666,-0.0062586,0.0109100,0.0121168,0.0422644,0.0273438,-0.0252127,-0.1032273,0.1123136,0.2464969,0.0192336,0.1604558,0.0351752,0.0021352,0.0977050,-0.0402895,0.0481061,-0.0223288,-0.0560819,0.0260179,0.2276988,0.0231924,0.0581037,0.0228238,0.0386757,-0.0402664
BF.B,-0.0487805,0.1109253,0.0677371,0.0089286,0.0023288,0.0092937,0.0161142,0.0434980,0.0322004,0.0719237,0.0060631,-0.0088389,0.0486421,0.0027058,0.0304549,-0.0542462,0.0225475,0.0259434,0.0429119,0.0543718,0.0139373,-0.0298969,0.0233794,-0.0148840,-0.0158117,0.0053552,0.0490057,-0.0054164,0.0650102,0.0041547,0.1145767,-0.0014278,0.0360309,0.0342258,0.0013344,-0.0186567,-0.0149375,-0.0168183,0.0499159,-0.0277778,-0.0406593,0.0343643,-0.0157807,0.0376934,-0.0170778,0.0728075,0.0280206,0.0952738,-0.1102740,0.0574801,0.0373696,-0.0453801,-0.0109703,-0.0352477,0.0063873,0.0000000,-0.0312262,0.0265816,-0.0274469,0.0508520,0.0197618,-0.0546584,-0.0459921,0.0280992,-0.0281350,-0.0068927,0.0764936,-0.0287863,-0.0114820,0.1361426,-0.0580124,-0.0381121,0.0522173,0.0755611,0.0280547,0.0667569,0.1135307,0.0085438,-0.0024473,0.0260426,0.0194960,0.0339167,-0.0792183,-0.0375213,0.0480410,-0.0473417,-0.0680339,0.0351248,-0.0517171,0.0129338,0.0238349,0.0448971,0.0547046,-0.0033949,0.0692657,-0.0014159,-0.0395250,0.1240081,0.0256116,0.0475428,0.0366748,-0.0073703,0.0207900,-0.0717195,-0.1437079,0.1352489,0.0562631,-0.0152625,0.0747055,0.0552351,0.0281536,-0.0745713,0.1585751,-0.0286387,-0.0638162,-0.0241309,-0.0163453,0.0768357,0.0534160,-0.0572180,-0.0405046,-0.0395848,-0.0108085
